Index, Rank, ID, TS Energy Predictions with f_e (kcal/mol)
rxn3086, 0, 0, -1235.002
rxn3086, 0, 1, -1234.281
rxn3086, 0, 2, -1235.118
rxn3086, 0, 3, -1233.777
rxn3086, 0, 4, -1235.122
rxn3086, 0, 5, -1235.343
rxn3086, 0, 6, -1237.025
rxn3086, 0, 7, -1235.468
rxn3086, 0, 8, -1233.787
rxn3086, 0, 9, -1236.254
rxn3086, 0, 10, -1237.129
rxn3086, 0, 11, -1234.535
rxn3086, 0, 12, -1235.754
rxn3086, 0, 13, -1235.462
rxn3086, 0, 14, -1234.978
rxn3086, 0, 15, -1234.610
rxn3086, 0, 16, -1234.736
rxn3086, 0, 17, -1235.507
rxn3086, 0, 18, -1233.715
rxn3086, 0, 19, -1235.159
rxn3086, 0, 20, -1236.588
rxn3086, 0, 21, -1233.675
rxn3086, 0, 22, -1236.087
rxn3086, 0, 23, -1234.387
rxn3086, 0, 24, -1234.304
rxn3086, 0, 25, -1234.789
rxn3086, 0, 26, -1234.267
rxn3086, 0, 27, -1235.138
rxn3086, 0, 28, -1232.784
rxn3086, 0, 29, -1235.003
rxn3086, 0, 30, -1234.338
rxn3086, 0, 31, -1234.182
rxn3086, 0, 32, -1235.532
rxn3086, 0, 33, -1235.721
rxn3086, 0, 34, -1234.449
rxn3086, 0, 35, -1233.885
rxn3086, 0, 36, -1234.078
rxn3086, 0, 37, -1235.350
rxn3086, 0, 38, -1234.417
rxn3086, 0, 39, -1234.851
